poiid,name,feature,sightlevel,distance,com_count,com_score,heat_score
13826245,凤凰山公园,28,1,2,2,4.4,0.0
10537764,百花潭公园,28,1,2,3,4.6,0.0
13764504,白岩寺,8,1,2,2,4.2,0.0
87780,彭州龙门山地震遗址公园,3,1,3,0,0.0,0.0
69290495,干海子,20,1,2,1,3.7,0.0
76382,宝光寺,8,1,2,3,4.5,0.0
52170037,金骊索道,3,1,3,0,0.0,0.0
131928333,朱家湾林盘景区,3,1,3,1,4.0,0.0
84090727,成都星空梦幻艺术馆（春熙路旗舰店）,34,1,1,2,5.0,0.0
129754660,蓥华大峡谷漂流,20,1,2,2,3.2,0.0
79656348,海洋馆,44,1,5,0,0.0,0.0
13703458,小通巷,9,1,2,3,4.4,0.0
24653318,通济花海,3,1,3,3,4.6,0.0
58303519,成都耍都,9,1,2,2,4.8,0.0
69290572,卧龙干海子,20,1,2,1,3.9,0.0
22866064,成都U37创意仓库,9,1,1,2,4.4,0.0
30629616,仁吉喜目谷,20,1,3,2,4.2,0.0
13826207,唐昌镇,15,1,3,2,4.4,0.0
91004385,虹瑞乐园,6,1,3,1,3.0,0.0
10520934,鹤鸣山,51,1,2,2,4.1,0.0
13789076,回龙沟景区,30,1,2,2,4.2,0.0
22638179,Air Pang Pang韩国亲子嘉年华,6,1,2,2,4.9,0.0
53230156,空港花田,3,1,1,3,4.1,0.0
101472,麦鲁小城,3,1,2,3,4.5,0.0
50572425,大坪滑翔伞基地,35,1,2,2,5.0,0.0
115334004,雲上自然缘森林温泉,47,1,3,1,3.5,0.0
126934346,熊猫香山,3,1,3,1,3.3,0.0
94994,锦里古戏台,49,1,2,3,4.4,0.0
52080197,玉清宫,8,1,3,1,5.0,0.0
24654081,沿江古道,8,1,5,2,4.5,0.0
112647033,棕榈世界房车露营地,32,1,3,1,4.0,0.0
130859550,蝴蝶森林王国,6,1,3,1,2.6,0.0
10521044,鹿野苑私立石刻艺术博物馆,25,1,3,2,3.9,0.0
49840355,熊猫小巷,9,1,5,1,4.4,0.0
32946426,飞越丛林探险乐园（三道堰园区）,3,1,2,1,5.0,0.0
131896590,三圣寺,8,1,3,0,0.0,0.0
10556907,新场古镇,15,4,1,3,4.5,0.0
58308801,虹口-龙溪国家级自然保护区珍稀动植物展示厅,34,1,4,0,0.0,0.0
83067113,融创归心四季SKI滑雪体验馆,3,1,5,0,0.0,0.0
52075488,娘娘殿,8,1,5,1,4.5,0.0
31669036,成飞公园,28,1,2,2,4.5,0.0
56806937,三郎镇,9,1,3,1,4.6,0.0
13822346,乌木林,8,1,2,2,4.6,0.0
30620153,汤乐源温泉体验馆,3,1,1,3,4.3,0.0
10758759,花舞人间,3,4,1,4,4.5,5.4
24654217,阴阳界,20,1,1,2,4.6,0.0
24653508,汶川博物馆,25,1,2,2,4.6,0.0
24649061,成都蜀锦织绣博物馆,25,1,2,3,4.5,0.0
77415446,蓬蓬动物王国,53,1,2,2,4.4,0.0
86698,段家大院子,3,1,1,2,4.2,0.0
55465191,四川省图书馆,18,1,2,2,4.2,0.0
46414173,狮子山户外登山健身步道,20,1,3,2,4.8,0.0
36380670,柳河坊,9,1,5,2,4.7,0.0
97588624,第一江南温泉,47,1,2,2,3.7,0.0
20914262,双泉水帘,20,1,3,1,4.6,0.0
24650398,虎啸岩,20,1,3,1,4.4,0.0
38638942,温江红枫基地,54,1,2,1,3.7,0.0
31674789,西蜀第一街,9,1,2,2,4.7,0.0
56810251,大熊猫月亮产房,53,1,2,2,4.7,0.0
23557105,泡桐树街,9,1,2,2,4.6,0.0
56381191,拾野自然博物馆,7,1,1,3,4.4,0.0
58279787,彭州九峰山,20,1,3,0,0.0,0.0
79871705,蒲虹国际滑翔伞俱乐部(都江堰店),35,1,4,0,0.0,0.0
112648791,龙池小镇,9,1,3,1,2.5,0.0
67626629,映秀家国情怀宣誓广场,18,1,3,1,4.7,0.0
112647508,诗里田园亲水度假区,55,1,2,1,1.0,0.0
133824677,龙泉驿欢乐田园,55,1,1,4,4.9,5.6
